enclave_id,colectividad,barrios_declarados,estado_via_D,nivel_precision,n_grupos_fuentes,es_normativa,designacion_oficial,advertencia,metodo_geometria,computa_via_D,n_tramos,largo_eje_m,motivo_no_computa,buffer_m,ha
E01,peruana,"Balvanera (sector Abasto), derrame sobre borde de Almagro",abierta,alta sobre Aguero (calle + altura + cabeceras); media sobre Jean Jaures y Zelaya (calle sin cabecera),3,no,Acto de instalacion del 02/06/2012 con placa conmemorativa. Impulsores: Santiago Vargas (Prensa 10) y el Consulado del Peru. En 2016 la Junta Comunal 3 coorganizo la feria.,"«Corredor Peruano» NO es normativo: es una placa del 02/06/2012 puesta por vecinos, comerciantes y el Consulado del Perú. No hay ley, ordenanza, resolución ni declaración de interés. Y la cuadra 400 de Agüero está en recambio asiático desde 2024, así que la delimitación de 2012 y la de 2025 describen realidades distintas. || La cuadra 400 de Aguero esta en RECAMBIO ASIATICO: Jua Jua Ramen (Aguero 436, 2024), OI Argentina (Aguero 449, 2024), Bu Fu Shi Guang (Anchorena 628, 2019). La nota de 2025 se titula 'Peru y Asia unidos por la calle Aguero'. La delimitacion de 2012 y la de 2025 describen realidades distintas.",eje+buffer,si,3,505.9,,150,28.8
E02,china (con presencia taiwanesa fundacional),Belgrano,abierta,alta,2,no,"ninguna norma localizada. La peatonalizacion de 2015 y el arco de 2009 presumiblemente tienen acto administrativo detras, sin numero localizado.","El poligono real de consumo son DOS CUADRAS, no el barrio. Un poligono de cuatro manzanas sobredimensiona la via D. Vacio llamativo de establecimientos: recomienda una segunda pasada especifica.",eje+buffer,si,2,384.7,,150,17.63
E03,coreana,Bajo Flores (Flores),abierta,"media-alta (eje, cabeceras y cantidad de cuadras; sin alturas)",3,no,"ninguna norma. El GCBA lo reconoce como producto turistico (Barrio Coreano, Circuito 2): reconocimiento administrativo blando, no designacion territorial.","DOS CORRECCIONES. Primera: la adjudicacion a Parque Chacabuco es erronea pero tiene raiz real, porque Av. Carabobo ES el limite entre Flores y Parque Chacabuco y la vereda impar puede caer del otro lado. Territorialmente el enclave es Bajo Flores, Comuna 7. Segunda: 'Baek-ku' (blanco-nueve) NO es un nombre de barrio, significa literalmente 'ciento nueve', por la linea de colectivo 109. Cargarlo como toponimo coreano seria un error de traduccion.",eje+buffer,si,1,767.9,,150,30.05
E04,"coreana (extension comercial, no nucleo residencial)",Floresta / Flores — en disputa,abierta,alta — el enclave mejor documentado por altura de puerta de todo el relevamiento,4,no,"ninguna. Circula la etiqueta periodistica 'Corea Soho' (La Nacion 2020), sin respaldo normativo.","CONTRADICCION DE BARRIO SIN RESOLVER: La Nacion y Nueva Ciudad lo ubican en Floresta; Diario de Flores y el GCBA en Flores. Las alturas caen sobre la franja limitrofe, ninguna fuente es obviamente falsa. PARA POLIGONIZAR: usar las alturas, no el nombre del barrio. Segunda advertencia: el iman primario de Av. Avellaneda es la ropa, no la comida.",eje+buffer,si,1,118.3,,150,10.61
E05,"judia (askenazi historica, hoy con fuerte componente sefardi y ortodoxo)",Balvanera (Once),abierta,alta — unico enclave con altura de puerta de fuente oficial,3,no,ninguna localizada,"El poligono de DAIA es NOTABLEMENTE mas grande que la nube real de puertas, que se concentra en Tucuman 2300-2800 y Paso 700. Si se poligoniza el declarado, se diluye la densidad. Segunda: el mismo texto de DAIA se titula 'Once, de enclave judio a espacio multicultural': la fuente que aporta el poligono avisa que el enclave esta en retirada.",eje+buffer,si,5,1884.8,,150,56.52
E06,judia sefardi y ortodoxa,Flores,abierta,"alta en puntos, NULA en bordes — el caso inverso al Barrio Chino",1,no,ninguna localizada,"n_grupos = 1. Con una sola fuente, y de 2015, este enclave NO deberia computar como 'delimitado' al mismo nivel que los demas, aunque tenga la lista de direcciones mas larga despues del Once. Y el Pasaje Valle, que yo habia nombrado, NO aparece en ninguna fuente legible: no debe cargarse.",eje+buffer,no,4,1322.4,n_grupos = 1 y de 2015: una sola fuente no delimita al mismo nivel que las demás,150,59.19
E07,boliviana,Liniers,abierta,"baja (a nivel de mercado identificado, no de poligono)",0 verificados (5 candidatos identificados y no extraidos),no,ninguna localizada,"NO CARGAR el cuadrante de la consigna como si estuviera verificado. Es un enclave real y bien cubierto por prensa, simplemente no se termino. RECUPERABLE EN UNA PASADA CORTA.",eje+buffer,si,3,4980.7,,150,131.72
E08,boliviana (quechua altiplanica),Nueva Pompeya (enclavado; discusion de borde con Villa Soldati),medida_sin_enclave,"media — tres bordes reales, dos avenidas y una traza ferroviaria (limite fisico duro y poligonizable), sin alturas y sin cuarto borde explicito",3,no,"ninguna norma. Tiene nombre oficial propio (Barrio General San Martin), dato administrativo aprovechable.","RESULTADO NEGATIVO MEDIDO, no laguna. Hay enclave, hay evento gastronomico anual, NO hay oferta comercial estable. De haber locales, Charrua seria el enclave boliviano de mayor profundidad historica de la Ciudad (1957, quince anos antes que su propia fiesta, treinta antes que el Barrio Chino) y con el mejor perimetro fisico del Atlas.",sin geometría,no,0,0.0,,150,0.0
E09,coreana (desplazamiento a Retiro y Microcentro norte),Retiro / San Nicolas,abierta,media (dos fuentes separadas por siete anos trazan la misma linea),2,no,ninguna. Existe la Asociacion Hansang de Gastronomicos Coreanos (entidad gremial).,CONTRADICCION ENTRE MIS DOS FRENTES: el relevamiento de enclaves concluyo que NO hay enclave coreano en Retiro y recomendo no crear la fila; el relevamiento del norte encontro Info Gastronomica 2019 mas La Nacion 10/05/2026 con direccionario de 25 restaurantes y entidad gremial. GANA EL SEGUNDO: tiene fuente de prensa nacional de hace tres meses. El primero no llego a esa nota.,puntos+buffer,si,6,0.0,,150,30.84
E10,paraguaya,dispersa en CABA,medida_sin_enclave,baja,0 con delimitacion,no,ninguna,"Es una de las colectividades mas numerosas del AMBA y aun asi NO produce enclave gastronomico delimitable en CABA. Hipotesis a no cargar como dato: su asentamiento es fuertemente suburbano, fuera de la unidad de analisis.",sin geometría,no,0,0.0,,150,0.0
E11,senegalesa y africana subsahariana,"Once y Constitucion (referencia), Villa Crespo (oferta real)",no_medible_con_este_instrumento,baja,0 con delimitacion,no,ninguna,"LA PRESENCIA SENEGALESA EN ONCE Y CONSTITUCION ES DE VENTA AMBULANTE, NO DE GASTRONOMIA CON LOCAL. Son dos fenomenos distintos y el Atlas no debe fusionarlos. ESTO ES UN LIMITE DEL INSTRUMENTO, NO UNA AUSENCIA DE LA COMUNIDAD: un atlas que solo ve fachadas no ve la economia senegalesa de la Ciudad.",sin geometría,no,0,0.0,,150,0.0
E12,armenia,Palermo (Palermo Viejo / Soho),abierta,media,2,no,"ninguna localizada. Si hay un hecho oficial fuerte: la calle Acevedo fue renombrada 'Armenia'; el odonimo es en si un acto normativo, cuyo numero no se localizo.","Hay institucion armenia densa y hay gastronomia armenia, pero NO se verifico que coincidan territorialmente. El eje institucional esta sobre calle Armenia; los restaurantes no tienen direccion documentada. Cargar el cuadrilatero como poligono gastronomico es una inferencia, no un dato.",sin geometría,no,0,0.0,,150,0.0
E13,japonesa,dispersa en CABA,no_medible_con_este_instrumento,baja,0 con delimitacion,no,ninguna,"El patron historico japones fue de DISPERSION POR RUBRO (tintorerias, floricultura) y no de concentracion por cuadra: exactamente el patron que una metodologia basada en contiguidad de fachadas no puede capturar.",sin geometría,no,0,0.0,,150,0.0
