establecimiento,direccion,veredicto_final,nivel,verificado_por,evidencia_que_cierra,nota,fila_que_afecta
Florida Garden,"Florida 899, Retiro",verificado_abierto,v2,"Diego, 07/08/2026",Ficha con actividad y horario todos los dias de 7 a 23; sitio propio online que permite reservas; telefono 4312-7902 vigente.,Sube de dudoso. Era uno de los tres que fallaban por cuatro dias.,R18 / Z46 Retiro
Casa Watson,"Vuelta de Obligado 2072, Belgrano",verificado_abierto,v3,"Diego, 07/08/2026",RESENA DE UNA VISITA FAMILIAR ESCRITA EL 05/07/2026 que describe haber almorzado alli. 33 dias.,"Y RESUELVE LA SEGUNDA PREGUNTA: sigue operando como Casa Watson. Usar Casa Watson; 'ex Capisci' queda solo como antecedente historico, no como nombre vigente.",R05 Belgrano
Bar Don Juan,"Camarones 2702, Villa Santa Rita",verificado_abierto,v2,"Diego, 07/08/2026","Ficha con horarios vigentes y actividad; otra fuente actualizada el 06/06/2026 mantiene establecimiento, direccion e Instagram @donjuan_elbar.",Villa Santa Rita conserva este soporte.,Z27 Villa Santa Rita
Bar de Cao,"Av. Independencia 2400, San Cristobal",verificado_abierto,v2,"Diego, 07/08/2026","Ficha local operativa con telefono 4943-3694 y horario vigente; Tripadvisor mantiene establecimiento, telefono y horarios actuales.",San Cristobal conserva su unico hito.,Z48 San Cristobal
La Farmacia,"Av. Directorio 2398/2400, Flores",verificado_abierto,v2,"Diego, 07/08/2026",Ficha operativa con horarios vigentes y base extensa de resenas; Tripadvisor operativa con horarios actuales; Turismo de la Ciudad conserva la ficha institucional.,"Flores conserva su unico reconocimiento vigente. Y queda desmentida la sospecha: la nota refrito de El Destape era mala evidencia, pero el bar SI esta abierto.",Z23 Flores casco historico
El Sol de Galicia,Luis Viale 2867 (CORREGIDA),verificado_abierto,v2,"Diego, 07/08/2026","Sitio oficial vigente en 2026 enumera cuatro sucursales y para CABA indica LUIS VIALE 2867, telefono 4581-2009, horario minorista lunes a domingo de 5 a 13.","CORREGIR LA DIRECCION A 2867. Hay una ficha cartografica que lo pone en 2881; prevalece el sitio oficial salvo que una comprobacion de coordenadas demuestre lo contrario. Recordar tambien: NO figura en el catalogo de Notables, es churreria y pasteleria.",Z27 Villa Santa Rita
Los Laureles,"Av. Iriarte 2290, Barracas",verificado_abierto,v2,"Diego, 07/08/2026",TURISMO DE LA CIUDAD MANTIENE UNA FICHA ACTUALIZADA que DESCRIBE SU REAPERTURA POR NUEVOS PROPIETARIOS y publica horarios nuevos: lunes a miercoles 12-15; jueves y viernes 12-15 y 20-00; sabados 20-2; domingos 12-16.,"SE REVIERTE P008: recupera la via B. Y hay que distinguir dos cosas del GCBA como fuente: un LISTADO INERTE que arrastra una ficha vieja no prueba nada (Plaza Bar, nueve anos), pero una FICHA EDITADA ACTIVAMENTE para describir un cambio, con horarios nuevos y especificos, SI es evidencia. Son dos objetos distintos. EL HITO SIGUE SIENDO FRAGIL: el inmueble esta en venta y el arreglo es un alquiler puente.",P008 Barracas
Confiteria Saint Moritz,"Esmeralda 894, Retiro",probablemente_abierto,v4,"Diego, 07/08/2026",Ficha comercial continua en Esmeralda 890/894 con el mismo telefono 4311-7311 y horarios publicados. Restaurant Guru actualizado el 30/03/2026 recoge actividad de clientes durante 2026. Sin prueba fechada posterior al 08/06.,Sin evidencia de cierre. Mantener con 'abierto probable / verificacion operativa pendiente'.,R18 / Z46 Retiro
Barbaro (catalogo: 'Bar Bar O'),"Tres Sargentos 415, Retiro",probablemente_abierto,v4,"Diego, 07/08/2026",Ficha actual con Instagram y telefono. CONTRADICCION: una fuente consultada el 21/07/2026 le da horarios de lunes a sabado; la ficha local estructurada devuelve un horario MUCHO MAS REDUCIDO.,"LA CONTRADICCION ES ELLA MISMA UNA SENAL: horario reducido es el patron de El Buzon, retraccion antes del cierre. Confianza media. Priorizar llamada o Places. Confirmado ademas que 'Bar Bar O' es anomalia de catalogo: la denominacion comercial es Barbaro.",R18 / Z46 Retiro
Cafe Olimpo,"Irigoyen 1491 esq. Arregui, Villa Luro",estado_operativo_pendiente,ninguno,"Diego, 07/08/2026","La ficha del negocio sigue existiendo en Irigoyen 1491 y conserva telefono; aparece otra ficha actual con horario. PERO no hay resena, publicacion ni evidencia de visita en los ultimos 60 dias. Tripadvisor lo muestra sin horarios y practicamente sin actividad reciente.","NI CERRADO NI VERIFICADO_ABIERTO. Es el unico de los diez que no se pudo resolver, y sigue siendo el mas urgente: unico Notable de Villa Luro. Telefonos: 3647-7287 y 6051-1069. Es el caso que justifica Places por si solo.",Z31 Villa Luro
