zona,establecimiento,direccion,veredicto,nivel,fecha_dato,dias_al_09_08_2026,evidencia,citable_en_documento,salvedad
R04 Puerto Madero,Estilo Campo,Alicia Moreau de Justo 1840,verificado_abierto,v3,2026-08-07,2,"Resena de usuario con fecha visible en el widget de Google alojado en su PROPIO dominio (trustindex.io/reviews/estilo-campo.com.ar). Flujo continuo: 07/08, 06/08 x2, 05/08 x2, 02/08, 01/08, 31/07, 30/07. Verificado en dos pasadas independientes con nombres, fechas y textos identicos.",True,DIVERGENCIA ENTRE PLATAFORMAS declarada: su TripAdvisor no tiene nada posterior al 21/03/2026 y Google si. No se elige: se reportan las dos.
R04 Puerto Madero,El Mercado (Faena),Martha Salotti 445,verificado_abierto,v3,2026-07-05,35,"Resena fechada que describe mozos, cocina y servicio en funcionamiento -imposible de escribir sin haber estado-. Racimo denso detras: 27/06, 25/06, 21/06, 16/06, 14/06, 07/06. Corroboracion independiente en la ficha del hotel Faena, junio 2026.",True,OpenTable titula la pagina 'Updated 2026' y su resena mas nueva es del 14/02/2021: re-sellado de manual. No contradice la operacion.
R04 Puerto Madero,Cabana Las Lilas,Alicia Moreau de Justo 516,verificado_abierto,v3,2026-07-06,34,Resenas fechadas 06/07 y 09/07/2026. La sustantiva es del 29/05/2026 y describe el servicio a la mesa paso a paso. La cuenta del propio local firma respuestas fechadas el 18/07/2026.,True,Las respuestas del local estan alojadas en un agregador: NO se cuentan como v2 (canal propio). Se dejan como senal de gestion activa. Su pagina de prensa tiene como item mas nuevo el 04/08/2025.
R04 Puerto Madero,La Cabana,Alicia Moreau de Justo 380 O 580 - SIN RESOLVER,verificado_abierto,v3,2026-06-06,64,"Resena fechada que habla de disponibilidad de mesa HOY, no de historia: 'often easier to get a table, often without the need to reserve'. Segunda del 29/05/2026 menciona duo musical en vivo, detalle operativo.",True,"DOS PROBLEMAS. (1) DIRECCION: el corpus dice 380 y el sitio oficial, el portal de turismo de la Ciudad y TripAdvisor dicen 580. No se elige. (2) Es el mas flojo de los cuatro: 64 dias. Su web tiene modified_time de 2024 y la prensa mas reciente es de 2018."
R06 Recoleta,Aramburu,"Vicente Lopez 1661, Pasaje del Correo",verificado_abierto,v1,2026-07-31,9,"LA NACION 31/07/2026, entrevista firmada por Sebastian A. Rios: el periodista fue al local, describe el frente con las placas en el Pasaje del Correo, y el chef dice 'yo a la noche trabajo en el restaurante'. Control de lavado de recencia hecho: el cuerpo menciona 'hace una semana, cuando revalidamos las dos estrellas'.",True,DATO NUEVO PARA LA FICHA: revalido DOS ESTRELLAS MICHELIN el 14/07/2026 y es el unico biestrellado del pais.
R06 Recoleta,Casa Veltri,Juncal 1642 - CONFIRMADA,verificado_abierto,v1,2026-07-06,34,"Malevamag 06/07/2026: cita textual atribuida a la casa mostrando el salon, mas el mercato italiano interno. Afirmacion operativa en presente. Triangulado con v3 (resenas del 25/07 y 22/07/2026) y v4 (Recomendado MICHELIN 2026, 14/07).",True,"v1 DE GAMA BAJA declarado: es la entrada 2 de un roundup de seis aperturas y no tiene firma. Son ~250 palabras con dos citas de la casa, por eso cuenta. La direccion estaba 'a confirmar' y ahora esta."
R06 Recoleta,Presencia,Montevideo 1789 esq. Av. Alvear - CONFIRMADA,verificado_abierto,v3,2026-07-27,13,"Tres resenas independientes posteriores al corte: 27/07, 05/07 y 21/06/2026. Describen servicio prestado.",True,"DIRECCION CONFIRMADA y con un matiz: el restaurante es Montevideo 1789 y el cafe anexo, Presencia Gran Cafe, opera sobre Av. Alvear 1600. Toda la prensa con reporteo propio es de 2025 y queda fuera de ventana."
R06 Recoleta,Fervor,Posadas 1519,verificado_abierto,v3,2026-07,12,Cuatro resenas independientes posteriores al 11/05/2026. La mas reciente: 'Volvimos otra vez y confirmamos que nada cambio'.,True,"FECHA CON PRECISION DE MES, no de dia: la extraccion por .com dio 09/07 y por .com.ar dio 28/07. No se elige. Y NO tiene distincion MICHELIN vigente 2026: estaba en Recomendados de la edicion anterior."
R06 Recoleta,Bar del Alvear,Av. Alvear 1891,NO CIERRA - PROBLEMA DE IDENTIDAD,ninguno,,0,"NO EXISTE NINGUN LOCAL LLAMADO 'BAR DEL ALVEAR'. El sitio propio del hotel nombra seis: L'Orangerie, Lobby Bar, Alvear Roof Bar, Alvear Grill, Alvear Cafe y Alvear Sushi Bar. Ninguno se llama asi, ni en espanol ni en ingles.",False,"EL HOTEL SI ESTA OPERANDO, verificado y declarado como contenedor: publica en canal propio la promocion 'AGOSTO EN BUENOS AIRES' valida del 1 al 31 de agosto de 2026. Falta decidir cual de los seis locales es el que el Atlas queria cargar. Si es el Lobby Bar, su ficha mas cercana tiene resena del 27/04/2026: 104 dias, fuera de ventana."
R02 Avenida Corrientes,El Gato Negro,Av. Corrientes 1669,verificado_abierto,v3,2026-07-29,11,"Tres resenas escritas Y VISITADAS en julio de 2026, cruzadas en las dos ediciones de TripAdvisor. Describen personal atendiendo, carta servida, precios y encargado en funciones.",True,Se descarto expresamente el sello 'Updated July 2026' de Yelp. Su sitio propio publica direccion y horarios pero no tiene una sola pieza fechada.
