polo_id,nombre_polo,estado_validacion_2025,decision_2025,cantidad_fuentes_total,cantidad_fuentes_alta,cantidad_fuentes_media,cantidad_fuentes_baja,hay_fuente_oficial,hay_fuente_periodistica,hay_fuente_datos_abiertos,hay_fuente_turistica,hay_fuente_academica,hay_delimitacion_explicita,hay_locales_mencionados,delimitacion_textual_2026,nivel_precision_2026,fuente_delimitacion_2026,url_fuente_delimitacion_2026,estado_validacion_2026,decision_2026,cambia,motivo,puertas_cerradas,observaciones
PG006B_BAJO_BELGRANO,Bajo Belgrano,requiere_validacion,no_incluir_aun,7,2,3,2,si,si,no,si,no,si,si,"El bajo Belgrano -delimitado por La Pampa, Monroe, Libertador y Figueroa Alcorta-",media,El Cronista (corroborada por Brodyfriedman con otra redaccion),https://www.cronista.com/apertura/real-estate/el-bajo-belgrano-el-barrio-fetiche-que-sigue-creciendo-y-atrae-nuevas-inversiones-y-megaproyectos/,candidato_con_evidencia,incluir_con_delimitacion_documentada,SI,"Delimitacion textual explicita corroborada por dos fuentes independientes con redacciones distintas; un medio establecido lo llama polo gastronomico con locales nombrados; y una ficha oficial del GCBA designa polo gastronomico al Pasaje Echeverria, que esta adentro del area.",turismo.buenosaires.gob.ar/es/atractivo/1430-h-almuerzo-en-bajo-belgrano da 404,COSTURA: la fuente de calidad alta (oficial) nunca dice 'Bajo Belgrano'; ubica el Pasaje en Belgrano. Quien lo adscribe al Bajo Belgrano es un portal de calidad baja.
PG006C_BELGRANO_R,Belgrano R,candidato_con_evidencia,mencionar_en_anexo,5,1,2,2,si (no verificada),si,no,no,no,no,si,no se encontro,baja,-,-,candidato_con_evidencia,mencionar_en_anexo,NO,"No cambia POR PUERTAS CERRADAS, no por ausencia. Existen dos fuentes directamente pertinentes que no se pudieron leer.",La Nacion impresa 28/10/2024 titulada 'Belgrano R. El polo gastronomico trendy que crecio en...' (PressReader 403) | Ficha oficial DisfrutemosBA del GCBA (403),"DOS GESTIONES BARATAS ANTES DE CERRAR: pedir el impreso de La Nacion del 28/10/2024 en hemeroteca, y solicitar la ficha de DisfrutemosBA por via institucional interna (es del propio GCBA). OBSERVACION DE METODO: los locales documentados no se dispersan por el barrio, se alinean sobre Echeverria alturas 2900-3270 y Conde. Si el Atlas admite ejes, el recorte con evidencia seria 'eje Echeverria', no 'Belgrano R'."
PG019_AVENIDA_FEDERICO_LACROZE_DESDE_LIBERTADOR_,Federico Lacroze / Libertador a Cabildo,requiere_validacion,no_incluir_aun,6,0,3,3,no,si,no,no,no,si,si,transitan la magia innegable de esta calle desde Libertador hasta Cabildo,baja,MalevaMag (revista digital),https://malevamag.com/federico-lacroze-cinco-imperdibles-con-novedades-de-esta-calle-genial-de-belgrano-por-cami-de-rienzo-y-malena-gagliesi/,candidato_con_evidencia_debil,mencionar_en_anexo,SI (parcial),"Por primera vez hay delimitacion textual literal que coincide con el tramo, y una fuente que lo llama circuito con locales dentro del tramo. Pero toda la evidencia a favor es de UN solo medio, 2018-2019.",-,"CONTRAEVIDENCIA FUERTE: tres notas de prensa establecida 2023-2025 (La Nacion x3) usan Lacroze como LIMITE de otras zonas (calle Freire, Belgrano C, Colegiales al oeste de Cramer) y ninguna como corredor propio. Recomienda verificacion de campo antes de incluir."
PG010_AVENIDA_CASEROS_BARRACAS,Avenida Caseros / Bulevar Caseros,requiere_validacion,mencionar_en_anexo,7,2,2,3,si,si,no,si,no,si,si,"Es una sola cuadra, en Avenida Caseros, entre Defensa y Bolivar (concordante: entre Bolivar y Defensa, unos cien metros)",media,La Nacion (concordante con Info Gastronomica),https://www.lanacion.com.ar/sociedad/avenida-caseros-los-mejores-restaurantes-del-nuevo-polo-gastronomico-porteno-nid1974368/,candidato_con_evidencia,incluir_con_delimitacion_acotada,SI,"Delimitacion textual explicita y convergente en tres fuentes independientes, con locales verificables y direcciones, mas un circuito gastronomico oficial de Barracas (aunque este no cubra el eje Caseros).",-,"CORRECCION IMPORTANTE: se venia suponiendo el tramo Defensa - Av. Montes de Oca. NINGUNA fuente sostiene esa extension. Todas convergen en una o dos cuadras: Defensa-Bolivar, como maximo hasta Peru. Si entra al Atlas, entra con ese recorte. || Toda la cobertura es 2017-2021; no hay nada de 2024-2026."
PG014_AVENIDA_BOEDO,Avenida Boedo,requiere_validacion,no_incluir_aun,7,3,3,1,si (ninguna gastronomica de zona),si,no,si (de local individual),si (evidencia negativa),no,"si (sueltos, en clave tanguera)",no se encontro como corredor gastronomico,baja,-,-,requiere_validacion,no_incluir_aun,NO,"A un año de la busqueda anterior sigue sin aparecer una sola fuente que trate Av. Boedo como polo, corredor o circuito gastronomico. Aparece el Boedo del tango, no el Boedo gastronomico. Siete busquedas por angulos distintos.",agendaporteña.com.ar (robots),"NOVEDAD UTIL: existe desde dic-2025 el programa oficial BOEDO PEATONAL, con delimitacion exacta -Av. Boedo entre Av. Independencia y Av. San Juan, mas Estados Unidos y Carlos Calvo entre Maza y Colombres- que coincide con el tramo que el Atlas venia sospechando. Es aviso de transito, no menciona gastronomia. BUEN CANDIDATO A RE-REVISAR EN 2027."
PGF2_PARQUE_PATRICIOS,Parque Patricios,candidato_con_evidencia,mencionar_en_anexo,7,2,5,0,si (de hito puntual),si,no,si (de hito puntual),si (evidencia negativa),no,si,no se encontro delimitacion gastronomica; lo mas cercano son las arterias del Distrito Tecnologico,baja,Perfil / La Nacion Propiedades,https://www.perfil.com/noticias/sociedad/parque-patricios-revive-y-crece-con-una-seductora-oferta-gastronomica.phtml,candidato_con_evidencia,incluir_con_precision_baja,SI (parcial),"Dos fuentes periodisticas independientes enuncian al BARRIO -no al patio- como polo gastronomico, y una nombra cinco locales fuera del hito. Eso corrige la objecion de 2025 de que solo habia un patio gastronomico.",-,"La hipotesis del corredor de almuerzo del Distrito Tecnologico se confirma SOLO como narrativa periodistica ('comercios gastronomicos que arribaron'), nunca con delimitacion de calles ni relevamiento. Sin cobertura posterior a 2022."
PG013_ABASTO,Abasto,candidato_con_evidencia,mencionar_en_anexo,8,3,1,4,si,si (solo barrial),no,no,si (ficha institucional UCLG),si,si,"delimitado por las calles Av. Cordoba (norte), Av. Pueyrredon (este), Av. Diaz Velez / Tte. Gral. Juan Domingo Peron (sur) y Gascon (oeste)",ALTA (normativa),Resolucion 2940/MCGC/21 - Programa Abasto Barrio Cultural,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/566607,candidato_con_evidencia,mencionar_en_anexo,NO (pero la delimitacion pasa de baja a ALTA),"Aparecio un perimetro oficial citable en normativa, pero sigue sin existir una fuente de calidad que trate el Abasto como POLO GASTRONOMICO delimitado. Las dos normas no mencionan gastronomia ni una vez: definen un distrito CULTURAL.",boletinoficial norma/633164 (error SSL) | GCBA noticia 'seis nuevas propuestas' (404) | PDF oficial 'Abasto mapa y audioguia' (404),"HALLAZGO CONTRARIO AL ESPERADO: el perimetro oficial NO resuelve el solapamiento con Corrientes, lo CONFIRMA. El area Cordoba/Pueyrredon/Diaz Velez-Peron/Gascon contiene a Av. Corrientes como eje interno. || La unica delimitacion gastronomica distinta de Corrientes es el eje calle Agüero (Corredor Peruano / Biocultural, entre Zelaya y Peron), sostenido solo por fuentes bajas y antiguas."
PG018_NUEVO_BAJO_EN_RETIRO_ESMERALDA_Y_PARAGUAY,Nuevo Bajo en Retiro / Esmeralda y Paraguay,requiere_validacion,mencionar_en_anexo,7,1,5,1,si (solo evidencia negativa),si,no,si (debil),no,no,si (como listados de barrio),no se encontro para el cuadrante consultado,baja,-,-,requiere_validacion,mencionar_en_anexo,NO — HIPOTESIS REFUTADA,"Ninguna fuente, de ninguna calidad, nombra ni delimita el cuadrante Esmeralda/Paraguay/Reconquista/San Martin/M.T. de Alvear como area gastronomica.","cucinare.tv 2019 'Retiro: el nuevo polo gastronomico porteño' (403) | cucinare.tv oct-2025 guia de Retiro, la fuente MAS RECIENTE localizada (403)","REFORMULAR EL CANDIDATO: cuatro fuentes independientes a lo largo de diez años (2013, 2015, 2019, 2023) apuntan consistentemente a OTRO eje -ARROYO / SUIPACHA / PLAZA SAN MARTIN-, que si tiene tratamiento como unidad. Es un cuadrante distinto, al noroeste del que se venia rastreando."
PGF2_FLORES,Flores → BARRIO COREANO / BAEK-KU (eje Av. Carabobo),candidato_con_evidencia,mencionar_en_anexo,6,1,3,2,si,si,no,si,no,si,si,"Avenida Carabobo en Flores, entre las avenidas Eva Peron y Castañares (siete cuadras); portal de acceso en Av. Carabobo y Av. Castañares",media,La Nacion (confirmada por Buenos Aires Herald),https://www.lanacion.com.ar/sabado/seul-en-buenos-aires-el-barrio-coreano-entre-la-tradicion-y-el-k-pop-que-se-puede-encontrar-nid08052023/,candidato_con_evidencia,incluir_como_unidad_propia,SI — REFORMULADO,"Hay circuito turistico OFICIAL del GCBA sobre el area, mas delimitacion textual coincidente en tres fuentes independientes y locales concretos con direccion. Sostiene una unidad acotada, NO 'Flores' como polo entero.",UNSAM poster academico 2023 (402) | GCBA 'Dos nuevos circuitos turisticos... cultura coreana' (500) | La Nacion '7 pistas para no perderse en Koreatown',No se encontro ninguna fuente de calidad media o alta que trate al Bajo Flores no coreano ni a Av. Avellaneda como corredor gastronomico. Av. Avellaneda aparece siempre como polo TEXTIL.
PGF2_FLORESTA,Floresta → PASAJE RUPERTO GODOY / 'COREA SOHO',candidato_con_evidencia,mencionar_en_anexo,7,1,4,2,si,si,no,si,no,si,si,"Pasaje Ruperto Godoy, pasaje peatonal de ~100 metros, entre Helguera y Cuenca, a la altura de Paez, a dos cuadras de Av. Avellaneda",media,La Nacion (confirmada por Buenos Aires Herald),https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/,candidato_con_evidencia,incluir_como_unidad_propia,SI — REFORMULADO,Aparecio la fuente de polo que faltaba: La Nacion lo llama literalmente 'polo gastronomico' y 'patio de comidas'. Mas circuito oficial del GCBA que nombra a Floresta y ~19 locales con direccion.,"GCBA 'Dos nuevos circuitos turisticos' (500) | AMEP (403) | Korea.net x2, localizadas no leidas","La asignacion de barrio es INCONSISTENTE en las propias fuentes: La Nacion lo puso en Flores en 2020 y en Floresta en 2023; el circuito oficial dice 'Floresta y Flores'. LA FICHA DEBE REGISTRARLO POR SUS CALLES, NO POR SU BARRIO. || La ficha oficial de Floresta en turismo.buenosaires.gob.ar esta VACIA."
