mercado,perfil_principal,perfil_secundario,momento_recomendado,activacion_recomendada,evidencia_principal,tipo_evidencia,nivel_confianza,urls_clave
Mercado de San Telmo,Turistico / patrimonial,Barrial / paseo,"Fines de semana, recorridos turísticos y franjas de paseo","Recorridos patrimoniales, degustaciones y circuitos gastronómicos","GCBA Descubrir BA, Turismo BA y sitio propio del mercado",oficial_gcba_turismo_sitio_propio,alto_documental,http://buenosaires.gob.ar/Descubrir%20BA/mercado-de-san-telmo; https://turismo.buenosaires.gob.ar/en/otros-establecimientos/san-telmo-market; https://www.mercadosantelmo.com.ar/
Mercado de Belgrano,Barrial / familiar,Turistico / patrimonial,"Compras de cercanía, fines de semana y agenda familiar","Degustaciones, talleres cortos y agenda barrial",GCBA Descubrir BA y respaldo documental multifuente,oficial_gcba_prensa,alto_documental,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-belgrano; https://www.infogastronomica.com.ar/mercado-de-belgrano-historia-locales-y-mas/
Mercado del Progreso,Barrial / familiar,Patrimonial / abasto,"Compras de cercanía, mediodía y fines de semana","Activaciones de hábito, cocina de mercado y recorridos barriales",Sitio propio del mercado y Turismo BA,sitio_propio_oficial_turismo,alto_documental,https://mercadodelprogreso.com/; https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-del-progreso
Mercat Villa Crespo,Trabajadores / franja post-laboral,Mixto barrial / turístico medio,"Almuerzo, tarde-noche y salida corta entre semana","After office, menús de mediodía y experiencias de food hall",Turismo BA y respaldo documental multifuente,oficial_turismo_multifuente,alto_documental,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercat-villa-crespo
Patio de los Lecheros,Barrial / familiar,Turistico / barrial,"Tardes, fines de semana y agenda familiar","Propuestas familiares, ferias de cercanía y eventos barriales",Buenos Aires Ciudad y nota institucional de aniversario,oficial_gcba,alto_documental,https://buenosaires.gob.ar/patio-de-los-lecheros; https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/noticias/el-patio-de-los-lecheros-cumple-5-anos
Mercado Bonpland,Productores / consumo consciente,Comunitario / economía social,Fines de semana y agenda de productores,"Talleres, consumo responsable, economía social y cocina cultural","Argentina.gob.ar, Turismo BA y respaldo interno sanitizado",oficial_nacion_oficial_turismo_fuente_sanitizada,alto_documental,https://www.argentina.gob.ar/desarrollosocial/cronicasdeldesarrollo/mercado-bonpland-economía-solidaria-en-las-calles-de-palermo; https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-bonpland
Smart Plaza Parque Patricios,Trabajadores / almuerzo / franja post-laboral,Barrial / familiar,"Almuerzo, tarde y salida corta franja post-laboral","Almuerzos, actividades en plaza y activaciones de cercanía",Buenos Aires Ciudad y Turismo BA,oficial_gcba_turismo,alto_documental,https://buenosaires.gob.ar/smart-plaza-patio-parque-patricios; https://turismo.buenosaires.gob.ar/es/otros-establecimientos/smart-plaza-patio-parque-patricios
Patio Costanera Norte,Turistico / patrimonial,Paseo de ribera,"Fines de semana, atardecer y franjas de paseo","Circuitos de ribera, degustaciones y propuestas de experiencia",GCBA Desarrollo Economico y Turismo BA,oficial_gcba_turismo,medio_documental,http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-costanera-norte; https://turismo.buenosaires.gob.ar/es/otros-establecimientos/patio-costanera-norte
Patio Gastronómico Rodrigo Bueno,Comunitario / colectividades,Barrial / familiar,"Fines de semana, visitas de paseo y agenda comunitaria","Cocina cultural, identidad barrial y activaciones de comunidad",GCBA Desarrollo Economico e Instituto de Vivienda,oficial_gcba_institucional,alto_documental,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-rodrigo-bueno; https://vivienda.buenosaires.gob.ar/patio_gastronomico_rodrigo_bueno
Mercado San Nicolás,Trabajadores / almuerzo / franja post-laboral,Turistico / patrimonial,"Almuerzo de Microcentro, franja post-laboral y recorridos de centro","Menus de mediodía, franja post-laboral y recorridos gastronómicos del centro","Turismo BA, GCBA y respaldo interno sanitizado",oficial_turismo_gcba_fuente_sanitizada,alto_documental,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-de-san-nicolas; http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/mercado-san-nicolas; https://buenosaires.gob.ar/noticias/reinauguro-el-mercado-san-nicolas
Buenos Aires Market,Productores / consumo consciente,Barrial / familiar,"Itinerante de fin de semana, según sede programada","Ferias saludables, productores, talleres y consumo responsable",Sitio propio y comunicación GCBA sobre ferias itinerantes,sitio_propio_oficial_gcba,alto_documental,https://www.buenosairesmarket.com/; https://buenosaires.gob.ar/noticias/donde-encontrar-las-ferias-ba-market-y-sabe-la-tierra
Sabe la Tierra,Productores / consumo consciente,Comunitario / barrial,Itinerante de fin de semana y agenda saludable,"Productores sustentables, talleres, cocina saludable y comunidad","Sitio propio, GCBA y respaldo documental multifuente",sitio_propio_oficial_gcba,alto_documental,https://sabelatierra.org/; https://buenosaires.gob.ar/gcaba_historico/sabe-la-tierra; https://buenosaires.gob.ar/noticias/donde-encontrar-las-ferias-ba-market-y-sabe-la-tierra
Gourmand Food Hall,Turistico / patrimonial,Trabajadores / salida corta,"Paseo en Retiro, almuerzo y franja post-laboral","Consumo de experiencia, degustaciones y recorridos gastronómicos",Sitio propio y validación documental multifuente,sitio_propio_documental_multifuente,alto_documental,https://gourmandfoodhall.com/
