id_fuente,nombre_mercado_o_evento,categoria,tipo_fuente,titulo_fuente,organismo_o_medio,url_o_estado_url,fecha_publicacion,fecha_consulta,afirmacion_sostenida,campo_que_respalda,nivel_confianza,observacion
FPER-001,Mercados/patios GCBA activos,mercado_gastronomico_publico,oficial_gcba,Mercados de la Ciudad,Buenos Aires Ciudad,url_no_visible_en_export,sin_fecha_visible,2026-06-24,"Fuente oficial recuperada para mercados de la Ciudad; en el export se asocia a Mercado Belgrano, San Nicolás y Bonpland, entre otros.",listado_base;horarios;oferta,C1_oficial_GCBA_TurismoBA,"Útil como ancla oficial, pero el export de Perplexity no muestra URL completa."
FPER-002,Mercados/patios GCBA activos,mercado_gastronomico_publico,oficial_gcba,Desarrollo Gastronómico,Buenos Aires Ciudad,url_no_visible_en_export,sin_fecha_visible,2026-06-24,Fuente institucional vinculada al desarrollo gastronómico de la Ciudad.,marco_institucional,C1_oficial_GCBA_TurismoBA,"Usar para contexto, no para detalle operativo si no trae ficha específica."
FPER-003,Mercados/patios GCBA activos,mercado_gastronomico_publico,oficial_gcba,Mercados y Patios Gastronómicos,Buenos Aires Ciudad,url_no_visible_en_export,sin_fecha_visible,2026-06-24,"Fuente oficial agrupadora de mercados y patios gastronómicos; Perplexity la vincula a espacios activos como Belgrano, San Nicolás, Bonpland, Lecheros, Smart Plaza, Costanera Norte y Rodrigo Bueno.",listado_base;relacion_con_GCBA,C1_oficial_GCBA_TurismoBA,"Prioritaria para validar alcance público/mixto, pero requiere recuperar URL completa."
FPER-004,Mercados/patios turísticos,mercado_turistico_gastronomico,oficial_turismo,Gastronomía en Buenos Aires,Sitio oficial de Turismo de la Ciudad,url_no_visible_en_export,sin_fecha_visible,2026-06-24,Fuente turística general sobre gastronomía en Buenos Aires.,contexto_turistico,C1_oficial_GCBA_TurismoBA,Fuente de contexto; no necesariamente contiene todos los mercados.
FPER-005,Mercados/patios turísticos,mercado_turistico_gastronomico,oficial_turismo,Mercado gastronómico,Turismo Buenos Aires,url_no_visible_en_export,sin_fecha_visible,2026-06-24,Fuente turística específica sobre mercado gastronómico.,listado_base;perfil_turistico,C1_oficial_GCBA_TurismoBA,Recuperar URL antes de integrar como fuente final.
FPER-006,Patio de los Lecheros,patio_gastronomico,oficial_turismo,Patio de los Lecheros,Turismo Buenos Aires,url_no_visible_en_export,sin_fecha_visible,2026-06-24,Ficha turística oficial de Patio de los Lecheros.,existencia;perfil_turistico,C1_oficial_GCBA_TurismoBA,Útil para ficha individual.
FPER-007,Mercado Soho,food_hall,oficial_turismo,Mercado Soho,Turismo Buenos Aires,url_no_visible_en_export,2021-09-14,2026-06-24,Ubica el espacio en el corazón de Palermo y describe dos pisos con once experiencias gastronómicas; abajo comida callejera al paso y arriba platos más elaborados/gourmet.,oferta;perfil_turistico,C1_oficial_GCBA_TurismoBA,La ficha recuperada no mostró dirección completa ni horarios.
FPER-008,Mercado Soho,food_hall,prensa_con_fecha,El patio gastronómico inspirado en Europa que se encuentra en el barrio de Palermo,TN,url_no_visible_en_export,sin_fecha_visible_en_respuesta,2026-06-24,La nota ubica Mercado Soho en Armenia 1744 y publica horarios: martes a jueves 17:00 a 00:00; viernes y sábados 12:30 a 01:30; domingos 12:30 a 22:00.,direccion;horarios,C3_prensa_confiable_con_fecha,Usar como apoyo; falta URL visible y fecha exacta en el export.
FPER-009,Mercat Caballito,food_hall,oficial_turismo,La Noche de la Gastronomía,Turismo Buenos Aires,url_no_visible_en_export,2024-11-xx,2026-06-24,Turismo BA menciona a Mercat Caballito como espacio participante de La Noche de la Gastronomía.,existencia;relacion_con_evento,C1_oficial_GCBA_TurismoBA,Fuente oficial parcial; no incluye dirección ni horario propio del lugar.
FPER-010,Mercado Bonpland,mercado_de_productores,oficial_gcba,Mercados de la Ciudad / Mercado Bonpland,GCBA,url_no_visible_en_export,sin_fecha_visible,2026-06-24,"Horarios: martes, miércoles, viernes y sábados de 10 a 17 h. Oferta: productos orgánicos, alimentos envasados, frutas y verduras, bebidas, productos regionales y de granja.",horarios;oferta,C1_oficial_GCBA_TurismoBA,Fuente oficial central para Bonpland.
FPER-011,Mercado Bonpland,mercado_de_productores,oficial_nacional,"Mercado Bonpland, economía solidaria en las calles de Palermo",Argentina.gob.ar,url_no_visible_en_export,sin_fecha_visible,2026-06-24,"Describe gestión por cooperativas, sistema de cooperadora y enfoque de comercio justo, consumo responsable, ambiente y producción agroecológica/artesanal.",gestion;perfil_productores,C1_oficial_otro_organismo,"No es GCBA/Turismo BA, pero es fuente oficial nacional; usar para gestión/economía social con cita visible pendiente."
FPER-012,Mercado Belgrano,mercado_barrial_alimentario,oficial_gcba,Mercados de la Ciudad,GCBA,url_no_visible_en_export,sin_fecha_visible,2026-06-24,"Horarios publicados en respuesta: lunes a sábados de 08:30 a 14 h. Oferta: queserías, pescadería, carnicerías, pollerías, panaderías, comida vegana, dietéticas, casas de pasta y más.",horarios;oferta,C1_oficial_GCBA_TurismoBA,"La respuesta también menciona otros horarios desde Instagram oficial, por lo que conviene separar horario de frescos vs gastronómicos."
FPER-013,Mercado Belgrano,mercado_barrial_alimentario,sitio_red_oficial,Instagram oficial del mercado,Mercado de Belgrano,url_no_visible_en_export,2025-07-20,2026-06-24,Menciona 37 locales y horarios diferenciados: frescos de lunes a sábado 8:30 a 20 h; gastronómicos de lunes a domingo 11 a 24 h.,cantidad_de_puestos;horarios,C2_sitio_oficial_mercado,Usar con cautela como fuente oficial del propio mercado/redes; no es GCBA.
