nombre,direccion,barrio,comuna,tipo,distincion,edicion,url_fuente,calidad_fuente,conflicto,nota
La Americana,Av. Callao 83,Balvanera (Congreso),3,pizzeria_emblematica,APYCE + GCBA,2025,https://www.pizzerialaamericana.com.ar/,alta,,casa matriz e historica 1935
El Fortin,Av. Alvarez Jonte 5299 (esq. Av. Lope de Vega),Monte Castro,10,pizzeria_emblematica,APYCE + GCBA,2025,https://buenosaires.gob.ar/noticias/historias-de-mi-comuna-pizzeria-el-fortin,baja,SI,UNICO HUECO REAL: el GCBA confirma esquina y comuna pero NO publica altura. GEORREFERENCIAR POR ESQUINA
Guerrin,Av. Corrientes 1368,San Nicolas,1,pizzeria_emblematica,APYCE + GCBA,2025,https://turismo.buenosaires.gob.ar/es/gastronomico/guerrin,alta,,
El Cuartito,Talcahuano 937,Retiro / San Nicolas,1,pizzeria_emblematica,APYCE + GCBA,2025,https://elcuartito.com.ar/,alta,,altura sobre el limite Retiro/San Nicolas
Las Cuartetas,Av. Corrientes 838,San Nicolas,1,pizzeria_emblematica,APYCE + GCBA,2025,https://turismo.buenosaires.gob.ar/es/gastronomico/las-cuartetas,alta,,
Pin Pun,Av. Corrientes 3954,Almagro,5,pizzeria_emblematica,APYCE + GCBA,2025,https://www.cronista.com/clase/gourmet/la-pizzeria-historica-que-es-la-mas-antigua-de-caba-y-fue-elegida-como-la-mejor-de-la-ciudad-en-varias-oportunidades/,media,,la distinguida es la historica de 1927
Casa Burgio,Av. Cabildo 2477,Belgrano,13,pizzeria_emblematica,APYCE + GCBA,2025,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/burgio,alta,,CERRO 2021 y REABRIO oct-2022 con nuevo dueno. La continuidad NO es ininterrumpida
Angelin,Av. Cordoba 5270,Villa Crespo,15,pizzeria_emblematica,APYCE + GCBA,2025,https://www.canal26.com/turismo/2026/06/24/las-pizzerias-emblematicas-de-buenos-aires-historia-precios-y-por-que-siguen-marcando-la-cultura-portena/,media,,algunas fuentes la ubican en Palermo; la altura es Villa Crespo
La Mezzetta,Av. Alvarez Thomas 1321,Villa Ortuzar,15,pizzeria_emblematica,APYCE + GCBA,2025,https://www.cronista.com/clase/gourmet/la-historica-pizzeria-portena-que-abrio-hace-mas-de-80-anos-solo-tiene-4-variedades-y-su-estrella-es-la-fugazzeta-rellena/,media,SI,CONFLICTO OFICIAL vs PRENSA: GCBA da 1311 y Chacarita; prensa da 1321 y Villa Ortuzar
Banchero,Suarez 396 (esq. Av. Almirante Brown),La Boca,4,pizzeria_emblematica,APYCE + GCBA,2025,https://turismo.buenosaires.gob.ar/es/gastronomico/banchero,alta,SI,"GCBA da Suarez 396; canal26 da Alte. Brown 1220. MISMA ESQUINA, dos numeraciones. Sitio de Interes Cultural CPPHC 2002"
