id_fuente,id_candidato,nombre_candidato,tipo_fuente,titulo_fuente,organismo_o_medio,url,fecha_consulta,afirmacion_sostenida,nivel_confianza,observacion
URL-001,GENERAL,Mercados y patios gastronomicos,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,listado oficial de mercados y patios gastronomicos de CABA,C1_oficial,fuente ancla del relevamiento
URL-002,GENERAL,Mercados y patios gastronomicos,oficial_gcba,Mercados y Patios Gastronomicos,GCBA Desarrollo Economico,http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/mercados-y-patios-gastronomicos,2026-06-23,listado oficial de mercados y patios gastronomicos,C1_oficial,confirma listado oficial
URL-003,MG-0001,Mercado de San Telmo,oficial_turismo,Mercado San Telmo,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/san-telmo-market,2026-06-23,ubicacion historia y oferta gastronomica,C1_oficial,mercado historico 1897
URL-004,MG-0001,Mercado de San Telmo,sitio_oficial_mercado,Mercado San Telmo,Mercado San Telmo,https://mercadosantelmo.com.ar/,2026-06-23,oferta gastronomica y contacto,C2_sitio_oficial_del_mercado,horarios a validar (fuentes difieren)
URL-005,MG-0002,Mercado de Belgrano,oficial_gcba,Mercado de Belgrano,GCBA,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-belgrano,2026-06-23,historia ubicacion y oferta,C1_oficial,renovacion 2017-2019
URL-006,MG-0002,Mercado de Belgrano,oficial_turismo,Mercado Belgrano,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-belgrano,2026-06-23,oferta gastronomica y de abastecimiento,C1_oficial,food court y terraza
URL-007,MG-0003,Mercado del Progreso,oficial_turismo,Mercado del Progreso,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/en/otros-establecimientos/mercado-del-progreso,2026-06-23,mercado historico de alimentos en Caballito,C1_oficial,desde 1889
URL-008,MG-0003,Mercado del Progreso,enciclopedico,Mercado del Progreso,Wikipedia,https://es.wikipedia.org/wiki/Mercado_del_Progreso,2026-06-23,ubicacion cantidad de puestos sitio de interes cultural,C4_fuente_auxiliar,verificar cantidad de puestos con fuente oficial
URL-009,MG-0004,Mercat Villa Crespo,oficial_turismo,Mercat Villa Crespo,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercat-villa-crespo,2026-06-23,ubicacion dias horarios y oferta,C1_oficial,Thames 747; horarios oficiales
URL-010,MG-0005,Mercado Soho,oficial_turismo,Mercado Soho,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-soho,2026-06-23,ubicacion y caracter gastronomico,C1_oficial,Armenia 1744 Palermo
URL-011,MG-0005,Mercado Soho,sitio_oficial_mercado,Mercado Soho,Mercado Soho,https://www.mercadosoho.com.ar/,2026-06-23,locales gastronomicos y horarios,C2_sitio_oficial_del_mercado,9 locales dos barras
URL-012,MG-0006,Patio de los Lecheros,oficial_gcba,Patio de los Lecheros,GCBA Desarrollo Economico,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-de-los-lecheros,2026-06-23,direccion dias horarios y caracter publico,C1_oficial,propuesta gratuita GCBA
URL-013,MG-0007,Mercado de los Carruajes,oficial_gcba,Mercado de los Carruajes,GCBA,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-los-carruajes,2026-06-23,historia ubicacion y oferta gourmet,C1_oficial,ex cochera presidencial
URL-014,MG-0007,Mercado de los Carruajes,prensa,Cerro el Mercado de los Carruajes,La Nacion,https://www.lanacion.com.ar/economia/cerro-el-mercado-de-los-carruajes-y-volvera-a-reconvertirse-en-un-espacio-para-eventos-nid07052025/,2026-06-23,cierre definitivo en abril 2025,C3_multifuente_confiable,estado cerrado
URL-015,MG-0008,Mercado Bonpland,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,mercado de consumo responsable en Palermo,C1_oficial,economia social; dias a validar
URL-016,MG-0009,El Galpon,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,mercado de productores organicos en Chacarita,C1_oficial,direccion y dias a validar
URL-017,MG-0010,Smart Plaza Patio Parque Patricios,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,patio gastronomico al aire libre en Parque Patricios,C1_oficial,direccion y horarios a validar
URL-018,MG-0011,Patio Costanera Norte,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,patio gastronomico ribereno,C1_oficial,gestion y horarios a validar
URL-019,MG-0012,Patio Gastronomico Rodrigo Bueno,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,patio de emprendimientos del barrio Rodrigo Bueno,C1_oficial,politica social GCBA
URL-020,MG-0013,Mercado San Nicolas,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,mercado centenario renovado con oferta gastronomica,C1_oficial,direccion y horarios a validar
URL-021,MG-0014,Mercat Caballito,prensa,Mercat Caballito abre un nuevo mercado gastronomico,El Cronista,https://www.cronista.com/clase/gourmet/mercat-caballito-abre-un-nuevo-mercado-gastronomico-en-buenos-aires/,2026-06-23,oferta organica y gastronomica horarios y ubicacion,C3_multifuente_confiable,Shopping Caballito; confirmar con fuente oficial
URL-022,MG-0014,Mercat Caballito,prensa,El nuevo mercado gastronomico de Caballito,La Nacion,https://www.lanacion.com.ar/propiedades/inmuebles-comerciales/el-nuevo-mercado-gastronomico-de-caballito-es-como-el-borough-market-de-londres-y-tambien-abrira-en-nid08042022/,2026-06-23,concepto de mercado organico tipo Borough Market,C3_multifuente_confiable,segunda fuente confiable
URL-023,MG-0015,Buenos Aires Market,sitio_oficial_mercado,Buenos Aires Market Feria de Alimentos Saludables,Buenos Aires Market,https://www.buenosairesmarket.com/,2026-06-23,feria itinerante de productores y gastronomia,C2_sitio_oficial_del_mercado,ubicacion semanal variable
URL-024,MG-0015,Buenos Aires Market,oficial_gcba,Donde encontrar las ferias BA Market y Sabe la Tierra,GCBA,https://buenosaires.gob.ar/noticias/donde-encontrar-las-ferias-ba-market-y-sabe-la-tierra,2026-06-23,relacion con agenda gastronomica GCBA,C1_oficial,respaldo institucional
URL-025,MG-0016,Sabe la Tierra,sitio_oficial_mercado,Mercado de productores sustentables Sabe la Tierra,Sabe la Tierra,https://sabelatierra.org/,2026-06-23,feria de productores organicos itinerante,C2_sitio_oficial_del_mercado,asociacion civil desde 2009/2010
URL-026,MG-0016,Sabe la Tierra,oficial_gcba,Sabe la Tierra,GCBA,https://buenosaires.gob.ar/gcaba_historico/sabe-la-tierra,2026-06-23,presencia en agenda GCBA,C1_oficial,verificar sedes en CABA
URL-027,PEND-ARCOS,Los Arcos del Rosedal / Patio de los Arcos,prensa,Los Arcos del Rosedal gastronomia,Cada Viaje un Mundo,https://cadaviajeunmundo.com/los-arcos-del-rosedal-de-palermo-gastronomia-cool-a-toda-hora/,2026-06-23,polo gastronomico bajo viaducto en Palermo,C5_pendiente_revision,desambiguar Patio de los Arcos vs Los Arcos del Rosedal vs Distrito Arcos
URL-028,FUERA-DISTRITO-ARCOS,Distrito Arcos,prensa,Distrito Arcos premium outlet,Palermo Online,https://palermonline.com.ar/wordpress/distrito-arcos-el-premium-outlet-el-complejo-comercial-a-cielo-abierto/,2026-06-23,outlet comercial con gastronomia accesoria,X_fuera_de_alcance,shopping outlet; gastronomia no central
URL-029,FUERA-PULGAS,Mercado de las Pulgas,oficial_badata,Ferias y Mercados (ferias),GCBA BA Data (F03),local,2026-06-23,registrado como feria/mercado de antiguedades y usados,X_fuera_de_alcance,eje no gastronomico
URL-030,PEND-BARRIOCHINO,Barrio Chino,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,zona comercial con restaurantes y comercios orientales,C5_pendiente_revision,es un distrito no un mercado unico; revisar alcance
