id,establecimiento,direccion,barrio,zona_del_atlas,estado,desde,hasta,anos,que_era,causa_del_cierre,que_hay_hoy_en_esa_direccion,fuente,que_explica_de_la_zona,confianza
M001,La Blanqueada (ex Cairo),Av. Saenz y Francisco Rabanal,Nueva Pompeya,Z54 Nueva Pompeya,extinguido,1802,2017,215,"almacen de ramos generales y pulperia, junto al Puente Alsina",no documentada,no documentado,"TestimoniosBA 04/03/2025, 'El bar notable que no fue'","EXPLICA POR QUE EL EJE DE AV. SAENZ HOY NO SE SOSTIENE SOLO. Es el establecimiento gastronomico mas antiguo documentado de la Ciudad y NUNCA LLEGO A SER DECLARADO BAR NOTABLE.",alta
M002,The New Brighton,Sarmiento 645,San Nicolas,R12 Centro,extinguido,c. 1908,2026-03-18,118,restaurante y bar historico,quiebra declarada judicialmente,no documentado,"prensa nacional, marzo de 2026","SIGUE EN EL CATALOGO OFICIAL, orden 88 del consolidado firmado el 03/08/2026, cinco meses despues de la quiebra.",alta
M003,La Buena Medida,Suarez 101 esq. Caboto,La Boca,Z52 La Boca Necochea,extinguido,c. 1930,2025-10,95,"bodegon, Bar Notable",falta de renovacion del alquiler e imposibilidad de afrontar los costos,no documentado,Canal 26 03/12/2025 y BAE Negocios 02/12/2025,"SIGUE EN EL CATALOGO, orden 61, y paso por una CONSOLIDACION COMPLETA nueve meses despues del cierre. Ademas YA HABIA CERRADO ANTES y reabierto en septiembre de 2021: el de 2025 es el cierre definitivo.",alta
M004,Confiteria del Hotel Castelar,Av. de Mayo 1148/50/52,Monserrat,Z47 Monserrat,extinguido,1929,2020-05,91,confiteria del Hotel Castelar,cierre del hotel que la alojaba,"EDIFICIO CERRADO Y EN VENTA POR USD 7 MILLONES, 9.584 m2, con proyecto de subdividir en ~169 unidades",La Nacion y BAE Negocios mayo de 2020; El Cronista sobre la venta,"CASO PURO DE ARRASTRE POR EL CONTENEDOR, junto al Plaza Bar: el bar no cerro por si mismo, cerro el hotel. Dado de baja del catalogo en 2024, con CUATRO ANOS de retraso.",alta
M005,El Palacio de la Papa Frita,Av. Corrientes 1612,San Nicolas,R12 Centro,extinguido,1952,2026-03-02,74,"restaurante, Bar Notable declarado en 2015","alquiler dolarizado que se duplico a la renovacion: 'era imposible afrontar el alquiler'",anuncian reapertura en Parana 350,30 Dias de Noticias 05/03/2026,"Persianas colocadas el lunes a la 1 de la madrugada; el personal se entero el martes. Y NO FIGURA EN NINGUNO DE LOS TRES ANEXOS: ya habia sido desafectado ANTES de cerrar, sin que la desafectacion se documentara. EL CATALOGO TAMPOCO EXPLICA SUS BAJAS.",alta
M006,Hong Kong Style,Montaneses 2149,Belgrano,R05 Belgrano / E02 Barrio Chino,extinguido,c. 2000,2020-05,20,restaurante cantones,pandemia,no documentado,iProfesional 04/07/2020,"Parte de la ola que la Asociacion Barrio Chino describio en julio de 2020: ~120 comercios de origen asiatico, el 90 % con las persianas bajas y una proyeccion de que al menos el 30 % no reabriria.",alta
M007,Dragon Porteno,Arribenos 2137,Belgrano,R05 Belgrano / E02 Barrio Chino,extinguido,no documentado,2020-07,,restaurante chino,pandemia; 8 despidos,no documentado,iProfesional 04/07/2020,idem M006,alta
M008,Pippo,Montevideo 341,San Nicolas,R12 Centro,extinguido,1935,2020-08,85,restaurante de pastas,pandemia,"LA ACADEMIA, que se mudo ahi el 19/06/2025 desde Callao 368",Dossier Web 14/02/2021 y la cobertura de la mudanza de La Academia,"CASO DE SUCESION: una direccion que perdio su establecimiento historico y recibio otro. La memoria del local no se pierde, cambia de nombre.",alta
M009,Rodizio,Costanera Norte,Nunez,R07 Costanera Norte,extinguido · DEMOLIDO,,,,restaurante de la Costanera,no documentada,DEMOLIDO,relevamiento de la ronda de via E,"R07 PERDIO MAS DE LO QUE CONSERVA: cinco cerrados y uno demolido contra dos hitos vivos. Eso explica por que su via E no abre y por que quedo a UN GRUPO del umbral.",media
M010,Los Anos Locos,Costanera Norte,Nunez,R07 Costanera Norte,extinguido,,,,restaurante de la Costanera,no documentada,no documentado,relevamiento de la ronda de via E,idem M009,media
