id_fuente,nombre_mercado_o_caso,categoria,tipo_fuente,titulo_fuente,organismo_o_medio,url,estado_url,fecha_publicacion,fecha_consulta,afirmacion_sostenida,campo_que_respalda,nivel_confianza,usar_en_informe,observacion
F23-001,Mercat Caballito,en_revision,prensa,Nuevo mercado gourmet en Caballito,Clarin,https://www.clarin.com/gourmet/ciudad-buenos-aires-nuevo-mercado-gourmet-barrio-caballito-inaugura_0_w6QO-9nDC.html,url_completa_visible,2021-09-15,2026-06-24,Mercat Caballito abriria con 14 locales y mercado de productos organicos,apertura_oferta,C3_multifuente_confiable,refuerza_contexto_no_cambia_conteo,nota de apertura 2021; el caso sigue en revision por senal de cierre
F23-002,Mercat Caballito,en_revision,prensa,Mercat Caballito abre un nuevo mercado gastronomico,El Cronista,https://www.cronista.com/clase/gourmet/mercat-caballito-abre-un-nuevo-mercado-gastronomico-en-buenos-aires/,url_completa_visible,2022-04-05,2026-06-24,apertura en 2do piso del shopping con horario extendido,apertura_horarios,C3_multifuente_confiable,refuerza_contexto_no_cambia_conteo,no cambia decision conservadora
F23-003,Mercado de San Telmo,activo,sitio_oficial_mercado,Mercado de San Telmo,Mercado San Telmo,https://www.mercadosantelmo.com.ar,url_completa_visible,sin_fecha,2026-06-24,horario propio del mercado,horarios,C2_sitio_oficial_del_mercado,si,divergencia de horarios con Turismo BA
F23-004,Mercado de San Telmo,activo,oficial_turismo,San Telmo market,Turismo BA,https://turismo.buenosaires.gob.ar/en/otros-establecimientos/san-telmo-market,url_completa_visible,2017-09-05,2026-06-24,descripcion y horario turistico distinto del sitio propio,horarios,C1_oficial,si,sostiene divergencia documentada
F23-005,Mercado del Progreso,activo,oficial_turismo,Mercado del Progreso,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-del-progreso,url_completa_visible,2013-02-13,2026-06-24,ficha oficial con rubros y horario publicado,horarios_oferta,C1_oficial,si,divergencia de horarios con ficha general GCBA
F23-006,Bonpland/Belgrano/San Nicolas,activo,oficial_gcba,Mercados de la Ciudad,Buenos Aires Ciudad,https://buenosaires.gob.ar/gcaba_historico/recetas-y-alimentacion-saludable/mercados-de-la-ciudad,url_completa_visible,sin_fecha,2026-06-24,horarios y ubicacion de varios mercados activos,horarios_ubicacion,C1_oficial,si,ancla institucional multi-mercado
F23-007,Mercado San Nicolas,activo,oficial_turismo,Mercado San Nicolas,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-de-san-nicolas,url_completa_visible,2025-09-30,2026-06-24,oferta actual como espacio renovado con propuesta gastronomica,oferta,C1_oficial,si,fecha reciente refuerza estado activo
F23-008,Mercado Bonpland,activo,oficial_nacion,Mercado Bonpland economia solidaria,Argentina.gob.ar,https://www.argentina.gob.ar/desarrollosocial/cronicasdeldesarrollo/mercado-bonpland-economia-solidaria-en-las-calles-de-palermo,url_completa_visible,sin_fecha,2026-06-24,gestion cooperativa y logica de economia social,gestion,C1_oficial,si,confirma gestion mixta/economia social
F23-009,Patio de los Lecheros,activo,oficial_gcba,Patio de los Lecheros,Buenos Aires Ciudad,https://buenosaires.gob.ar/patio-de-los-lecheros,url_completa_visible,sin_fecha,2026-06-24,existencia del patio gastronomico oficial GCBA,estado_operativo,C1_oficial,si,ancla oficial
F23-010,Patio de los Lecheros,activo,oficial_gcba,El Patio de los Lecheros cumple 5 anos,Buenos Aires Ciudad,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/noticias/el-patio-de-los-lecheros-cumple-5-anos,url_completa_visible,2026-05-19,2026-06-24,sigue activo con datos de funcionamiento reciente,estado_operativo,C1_oficial,si,fecha muy reciente refuerza estado activo
