nombre_mercado_o_caso,afirmacion,campo,fuente,url,nivel_confianza,usar_en_informe,motivo
Mercat Caballito,abriria con 14 locales y mercado de productos organicos,oferta,Clarin,https://www.clarin.com/gourmet/ciudad-buenos-aires-nuevo-mercado-gourmet-barrio-caballito-inaugura_0_w6QO-9nDC.html,C3_multifuente_confiable,refuerza_contexto_no_cambia_conteo,caso en revision; nota de apertura 2021
Mercat Caballito,apertura en 2do piso del shopping con horario extendido,apertura_horarios,El Cronista,https://www.cronista.com/clase/gourmet/mercat-caballito-abre-un-nuevo-mercado-gastronomico-en-buenos-aires/,C3_multifuente_confiable,refuerza_contexto_no_cambia_conteo,no revierte la senal de cierre de Google
Mercado de San Telmo,horario propio (sitio del mercado),horarios,Mercado San Telmo,https://www.mercadosantelmo.com.ar,C2_sitio_oficial_del_mercado,si,fuente operativa; divergente con Turismo BA
Mercado de San Telmo,horario turistico distinto del sitio propio,horarios,Turismo BA,https://turismo.buenosaires.gob.ar/en/otros-establecimientos/san-telmo-market,C1_oficial,si,documenta la divergencia
Mercado del Progreso,ficha oficial con rubros y horario,horarios_oferta,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-del-progreso,C1_oficial,si,divergencia con ficha general GCBA
Bonpland/Belgrano/San Nicolas,horarios y ubicacion de varios mercados activos,horarios_ubicacion,Buenos Aires Ciudad,https://buenosaires.gob.ar/gcaba_historico/recetas-y-alimentacion-saludable/mercados-de-la-ciudad,C1_oficial,si,ancla institucional multi-mercado
Mercado San Nicolas,oferta actual como espacio renovado,oferta,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-de-san-nicolas,C1_oficial,si,fecha 2025 refuerza estado activo
Mercado Bonpland,gestion cooperativa y economia social,gestion,Argentina.gob.ar,https://www.argentina.gob.ar/desarrollosocial/cronicasdeldesarrollo/mercado-bonpland-economia-solidaria-en-las-calles-de-palermo,C1_oficial,si,confirma gestion mixta/economia social
Patio de los Lecheros,existencia del patio gastronomico oficial,estado_operativo,Buenos Aires Ciudad,https://buenosaires.gob.ar/patio-de-los-lecheros,C1_oficial,si,ancla oficial
Patio de los Lecheros,sigue activo con funcionamiento reciente,estado_operativo,Buenos Aires Ciudad,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/noticias/el-patio-de-los-lecheros-cumple-5-anos,C1_oficial,si,fecha 2026 muy reciente
Smart Plaza Parque Patricios,direccion oferta y horarios del patio,horarios_oferta,Buenos Aires Ciudad,https://buenosaires.gob.ar/smart-plaza-patio-parque-patricios,C1_oficial,si,ancla oficial
General,mencion a polos gastronomicos de la Ciudad,contexto,Turismo BA,https://turismo.buenosaires.gob.ar/es/article/gastronom%C3%ADa-en-buenos-aires,C1_oficial,refuerza_contexto,contexto general
Mercado Soho,ficha oficial como espacio gastronomico en Palermo,oferta,Turismo BA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-soho,C1_oficial,refuerza_contexto_no_cambia_conteo,caso en revision; no revierte senal de cierre
Mercado Soho,direccion propuesta y horarios,horarios_direccion,TN,url_truncada_requiere_verificacion,C3_multifuente_confiable,no_hasta_verificar,URL truncada
Mercado de los Carruajes,apertura original como mercado gourmet,estado_operativo,Infobae,url_truncada_requiere_verificacion,C3_multifuente_confiable,no_hasta_verificar,URL truncada; antecedente
Mercado de los Carruajes,cierre y reconversion a eventos,estado_operativo,Radio Hache,https://www.radiohache.com/articulo/cerro-el-mercado-de-los-carruajes-y-volvera-a-reconvertirse-en-un-espacio-para-eventos.php,C3_multifuente_confiable,si,refuerza cierre documentado
Mercado de los Carruajes,cierre definitivo y reconversion,estado_operativo,El Trece / Cucinare,url_truncada_requiere_verificacion,C3_multifuente_confiable,no_hasta_verificar,URL truncada
Concesiones (contexto gestion),DG Concesiones y Permisos interviene en concesiones,gestion_concesion,Boletin Oficial CABA,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/758253,C1_oficial,si,contexto normativo de gestion mixta
Concesiones (contexto gestion),concesiones via pliegos y regimen de concesion,gestion_concesion,GCBA,https://buenosaires.gob.ar/sites/default/files/2024-10/PLIEG-2024-39525385-GCABA-DGCOYP.pdf,C1_oficial,si,contexto normativo
