id_candidato,nombre,tipo_mercado_gastronomico,gestion_publica_privada_mixta,barrio,comuna,estado_operativo,activo_para_conteo,dias_de_apertura,horarios,nivel_confianza
MG-0001,Mercado de San Telmo,mercado_con_identidad_historica_gastronomica,mixta,San Telmo,1,activo,si,Lunes a Domingo,pendiente_fuentes_difieren,C1_oficial
MG-0002,Mercado de Belgrano,mercado_con_identidad_historica_gastronomica,mixta,Belgrano,13,activo,si,Frescos Lun-Sab; gastronomia Lun-Dom,frescos 8:30-20; gastronomia 11-24,C1_oficial
MG-0003,Mercado del Progreso,mercado_barrial_alimentario,privada,Caballito,6,activo,si,Lunes a Sabado,Lun-Vie 7:30-13 y 17-20; Sab 7:30-14 y 17-20,C1_oficial
MG-0004,Mercat Villa Crespo,food_hall,privada,Villa Crespo,15,activo,si,Martes a Domingo,Mar-Jue y Dom 12-23; Vie-Sab 12-01,C1_oficial
MG-0005,Mercado Soho,food_hall,privada,Palermo,14,activo,si,Martes a Domingo y feriados,desde 12:30,C1_oficial
MG-0006,Patio de los Lecheros,espacio_tipo_mercado_gastronomico,publica,Caballito,6,activo,si,Todos los dias,Dom-Mie 9-24; Jue 9-2; Vie-Sab 9-3,C1_oficial
MG-0008,Mercado Bonpland,mercado_de_productores,mixta,Palermo,14,activo,si,Mar Mie Vie y Sab,10-19/20,C1_oficial
MG-0009,El Galpon,mercado_de_productores,privada,Chacarita,15,activo,si,Miercoles y Sabado,9-18,C1_oficial
MG-0010,Smart Plaza Patio Parque Patricios,espacio_tipo_mercado_gastronomico,publica,Parque Patricios,4,activo,si,Todos los dias,Dom-Jue 11-24; Vie-Sab 11-1,C1_oficial
MG-0011,Patio Costanera Norte,espacio_tipo_mercado_gastronomico,mixta,Costanera Norte,13,activo,si,Miercoles a Domingo,Mie 12-19; Jue-Sab 12-24; Dom 12-21,C1_oficial
MG-0012,Patio Gastronomico Rodrigo Bueno,espacio_tipo_mercado_gastronomico,publica,Puerto Madero,1,activo,si,Viernes Sabado y Domingo,11-23,C1_oficial
MG-0013,Mercado San Nicolas,mercado_con_identidad_historica_gastronomica,mixta,San Nicolas,1,activo,si,Lunes a Sabado,mercado 8-18; gastronomia 11-24,C1_oficial
MG-0014,Mercat Caballito,food_hall,privada,Caballito,6,activo,si,Todos los dias,10-24,C3_multifuente_confiable
MG-0015,Buenos Aires Market,feria_gastronomica,privada,itinerante,0,itinerante,si,Fines de semana (sede variable),pendiente_por_sede,C2_sitio_oficial_del_mercado
MG-0016,Sabe la Tierra,mercado_de_productores,privada,itinerante,0,itinerante,si,Fines de semana (sede variable),pendiente_por_sede,C2_sitio_oficial_del_mercado
