id_externa,id_matriz_original,fuente,grupo,universo_sugerido,que_aporta,acceso_real,api_open_data,legalidad_riesgo,granularidad,cobertura_caba,prioridad_original,prioridad_normalizada,puntaje,camino_recomendado,accion_concreta,url,permite_scraping
E05,O01,OpenStreetMap / Overpass API,POI abierto,externa_publica_o_api,"Puntos y polígonos etiquetados como restaurant, cafe, bar, fast_food, pub, biergarten, food_court, etc.; también tags de cuisine, opening_hours, website, takeaway.",Abierto/gratuito con límites de uso razonables.,Sí: Overpass API / OSM extracts.,"Bajo, respetando ODbL/atribución y límites de servidores públicos.",Nodo/way/relación.,Media-alta pero heterogénea; depende de comunidad.,Alta,alta,3.55,"Integrar como F07 de contraste abierto, no como padrón oficial. Comparar con F01/F02 y detectar zonas subrepresentadas.","Pedir a Codex una fuente F07_OSM con query Overpass para CABA, normalización de tags y match por nombre/dirección/coordenada.",https://wiki.openstreetmap.org/wiki/Overpass_API,no
E28,SURV01,Formulario voluntario a restaurantes / cámaras / BA Capital Gastronómica,Datos declarativos opt-in,externa_publica_o_api,"Estado activo, capacidad, mesas, empleados, canales de venta, delivery, reservas, POS usado, interés en programas, consentimiento para compartir datos.",Totalmente viable desde el área.,Formulario / CRM.,Bajo con consentimiento y política de privacidad.,Local individual.,Depende de difusión; ideal con cámaras y programas.,Muy alta,alta,3.55,Crear F06/F07 opt-in de comercios activos; permite validar Google/Rappi/PedidosYa/POS.,Armar formulario simple de 15 campos y pedir a jefa aprobación para enviarlo a aliados.,,no
E22,INT01,Padrón vivo de habilitaciones / AGC interno,Gobierno / base maestra,interna_o_publica_gcba,"Estado actualizado de habilitaciones, bajas, titulares, rubros, inspecciones si se integra. Es la fuente más importante para pasar de aprobaciones históricas a locales vigentes.",Interno GCBA/AGC; requiere gestión.,No necesariamente público.,"Bajo dentro de gobierno, con tratamiento adecuado de datos sensibles.",Trámite/local/habilitación.,Completa formal.,Muy alta,alta,3.35,Prioridad antes de sumar fuentes privadas: conseguir padrón vivo/estado actual para no confundir aprobaciones históricas con locales activos.,Pedir a jefa contacto AGC y preguntar específicamente por campo de estado vigente/baja/fecha de cese y rubro normalizado.,,no
E23,INT02,Permisos de área gastronómica / mesas y sillas (F06),Gobierno / espacio público,interna_o_publica_gcba,"Uso de espacio público por comercios gastronómicos, superficie/mesas/sillas, permisos activos, ubicación.",Ya identificado como fuente candidata; falta integrar dataset operativo.,Puede existir en GCBA/área interna.,Bajo-medio.,Permiso/local/dirección.,Alta para locales con área gastronómica.,Muy alta,alta,3.35,Debe ser el próximo F06 oficial antes de convenios privados.,"Pedir archivo/base operativo con permisos vigentes, histórico, dirección, superficie y estado.",,no
E01,G01,Google Places API / Nearby + Details,POI / directorio comercial,externa_publica_o_api,"Locales publicados en Google Maps: nombre, dirección, coordenadas, categoría, estado del negocio, rating, cantidad de reseñas, horarios, teléfono, web, precios y atributos como dine-in/delivery/takeout/outdoor seating.",API oficial paga con Google Cloud y billing.,Sí: Places API (New).,"Medio: permitido vía API, pero con restricciones fuertes de almacenamiento/caché/atribución. No usar scraping de Google Maps.",Local individual / Place ID.,"Muy alta, pero no es padrón oficial ni confirma habilitación.",Alta,alta,3.1,"Pilotear con grilla por comunas/barrios usando Search Nearby y Details con campos mínimos. Guardar place_id, fecha de consulta e indicadores permitidos; revisar TOS antes de persistir campos.","Pedir autorización para crear un proyecto Google Cloud del área, cargar presupuesto mensual chico, y definir 2 comunas piloto: San Nicolás y Palermo.",https://developers.google.com/maps/documentation/places/web-service/place-details,no
E02,G02,Google Places Aggregate API,POI / conteos agregados,externa_publica_o_api,"Conteos y Place IDs de lugares por área, tipo, estado operativo, precio y rating. Sirve para densidad por polígono sin depender de un padrón propio.",API oficial paga; requiere Google Cloud.,Sí: Places Aggregate API.,Medio: usar según condiciones de Google; mejor para análisis agregados que para guardar directorios completos.,Área/polígono; Place IDs si el conteo es bajo.,Muy alta.,Alta,alta,3.1,Usarla como capa de benchmarking: conteos por comuna/barrio/radio turístico y comparación con F01/F02/F03.,Sumar a la hoja de ruta como alternativa más institucional que scraping para responder 'cuántos restaurantes activos visibles en Google hay por zona'.,https://developers.google.com/maps/documentation/places-aggregate/overview,no
E11,MP01,Mercado Pago APIs / Point / QR / Reportes,Pagos / actividad económica,externa_privada_convenio,"Pagos presenciales y online de comercios adheridos: cantidad de transacciones, montos, ticket promedio, medios de pago, sucursales/cajas/QR/Point. Es una de las mejores señales de actividad económica si se consigue agregada.",API oficial para cuentas propias o integraciones; datos de toda CABA requieren convenio con Mercado Pago.,Sí para merchant/integrador; no para datos agregados públicos.,"Bajo con convenio, agregación y anonimización; proteger datos fiscales/comerciales.",Comercio/caja/QR si autorizado; ideal comuna-rubro-mes.,Muy alta potencialmente.,Muy alta,alta,2.95,"Pedir dashboard/CSV mensual anonimizado: actividad gastronómica por comuna/rubro, no datos personales ni CUIT visibles.",Escalar como fuente F08 candidata: 'actividad económica real agregada'. Pedir sponsor político/institucional para convenio.,https://www.mercadopago.com.ar/developers/es/reference,no
E03,G03,Google Business Profile API + Performance,Datos opt-in de comercios,externa_publica_o_api,"Información y métricas de perfiles verificados: vistas, búsquedas, acciones, llamadas, rutas, reviews y datos de la ficha, pero sólo para comercios que autoricen acceso.",API oficial con permisos del dueño/administrador de cada perfil; no sirve para extraer todos los locales de CABA sin consentimiento.,"Sí, con OAuth/permisos.",Bajo si hay consentimiento explícito de comercios; alto si se intenta acceder sin autorización.,Local individual autorizado.,Variable; depende de comercios adheridos.,Alta,alta,2.95,Piloto voluntario con 20-50 restaurantes BA Capital Gastronómica/Distrito del Vino para medir visibilidad digital.,Proponer a jefa un formulario de adhesión donde los restaurantes autoricen lectura de métricas agregadas de Google Business Profile.,https://developers.google.com/my-business/reference/performance/rest,no
E09,D01,Rappi,Delivery / demanda real,externa_privada_convenio,"Locales activos en plataforma, pedidos, GMV, ticket promedio, tiempo de preparación, cancelaciones, disponibilidad, horarios, zonas de entrega, categorías/cocinas.",No encontré API pública institucional; los datos relevantes requieren convenio o exportación de merchant/partner dashboards.,No pública para este caso.,Bajo con convenio y datos agregados/anonimizados; alto si scraping masivo de app/web.,Ideal: local-mes o comuna-semana; nunca datos personales.,Alta en delivery.,Muy alta,alta,2.95,"Convenio de datos agregados, no scraping. Pedir mínimos: cantidad de comercios activos por comuna/rubro y pedidos/ticket agregado por mes.","Armar pedido institucional de 1 página: objetivo público, campos agregados, privacidad, periodicidad mensual, beneficio para sector.",https://www.rappi.com.ar/,no
E10,D02,PedidosYa / Delivery Hero,Delivery / demanda real,externa_privada_convenio,"Locales activos, pedidos, GMV, ticket, zonas, horarios, cancelaciones, tiempos y performance por categoría/territorio.",No encontré API pública para uso gubernamental; requiere convenio/exportación de PedidosYa o Delivery Hero.,No pública para este caso.,Bajo con convenio y agregación; alto con scraping.,Comuna/barrio-mes; local si hay autorización o anonimización fuerte.,Muy alta en delivery.,Muy alta,alta,2.95,Mismo paquete de convenio que Rappi; pedir datos agregados comparables entre plataformas.,Preparar mail formal desde Dirección/Subsecretaría pidiendo reunión de 30 min con equipo de public affairs/data.,https://www.pedidosya.com.ar/,no
